epoch,train_loss,train_acc,val_loss,val_acc,val_auc,test_loss,test_acc,test_auc
1,0.6243,0.8053,0.7009,0.4948,0.5738,,,
2,0.5581,0.7809,0.7388,0.5690,0.6013,,,
3,0.4780,0.7877,0.6499,0.6536,0.6367,,,
4,0.4376,0.7992,0.7232,0.4187,0.5477,,,
5,0.4508,0.7956,0.7934,0.5833,0.5864,,,
6,0.3959,0.8296,0.7224,0.6683,0.6440,,,
7,0.3893,0.8294,0.7782,0.6727,0.6294,,,
8,0.4154,0.8142,0.6434,0.6015,0.6318,,,
9,0.3723,0.8331,0.8775,0.5887,0.5958,,,
10,0.3672,0.8351,0.8893,0.4988,0.6266,,,
11,0.3754,0.8290,0.9390,0.4604,0.6086,,,
12,0.3859,0.8293,0.7146,0.6698,0.6195,,,
13,0.4012,0.8226,0.6970,0.6477,0.6480,,,
14,0.3753,0.8336,1.0559,0.4314,0.6185,,,
15,0.3724,0.8361,0.8992,0.6344,0.5978,,,
16,0.3772,0.8285,1.3551,0.4246,0.6141,,,
17,0.3566,0.8390,0.6548,0.6624,0.6619,,,
18,0.3816,0.8329,1.0365,0.4678,0.6181,,,
19,0.3682,0.8392,1.0330,0.4757,0.5944,,,
20,0.3927,0.8265,0.8338,0.6034,0.6266,,,
test,,,,,,0.4522,0.7203,0.7941
