epoch,train_loss,train_acc,val_loss,val_acc,val_auc,test_loss,test_acc,test_auc
1,0.3413,0.8465,0.7538,0.5155,0.6985,,,
2,0.2471,0.8789,0.7379,0.4826,0.6462,,,
3,0.2208,0.8899,0.8106,0.3676,0.6692,,,
4,0.2009,0.9009,1.1072,0.4324,0.6829,,,
5,0.1903,0.9078,0.7781,0.5853,0.6881,,,
6,0.1843,0.9127,0.8385,0.4147,0.6821,,,
7,0.1783,0.9154,1.5138,0.3823,0.6330,,,
8,0.1703,0.9212,1.0214,0.5160,0.6703,,,
9,0.1660,0.9223,1.8860,0.3907,0.6093,,,
10,0.1662,0.9206,0.7037,0.3779,0.6778,,,
11,0.1576,0.9274,1.0502,0.4162,0.6670,,,
12,0.1530,0.9299,1.3351,0.5725,0.6699,,,
13,0.1560,0.9264,1.0253,0.3686,0.6692,,,
14,0.1466,0.9334,1.2379,0.4324,0.6586,,,
15,0.1411,0.9358,1.4456,0.4644,0.6462,,,
16,0.1362,0.9386,1.3917,0.4373,0.6429,,,
17,0.1316,0.9422,1.0953,0.5774,0.6832,,,
18,0.1289,0.9425,2.5714,0.3931,0.6608,,,
19,0.1275,0.9443,1.6068,0.4609,0.6662,,,
20,0.1192,0.9476,1.2344,0.7337,0.6838,,,
test,,,,,,0.2480,0.9008,0.9612
